Target_Gene,Timepoint,Dosage,RTN_A_median,RTN_A_CI_lower,RTN_A_CI_upper,RTN_B_median,RTN_B_CI_lower,RTN_B_CI_upper,Predictive_Effect_median,Predictive_Effect_CI_lower,Predictive_Effect_CI_upper
Araf,T13,0.6nM,0.005184061050419055,0.004798427992781677,0.005643357872263112,0.005351038109053321,0.005067500307221947,0.005714886783865021,-0.05120398972040914,-0.12290193954274757,-0.02270174996420482
Araf,T13,3.5nM,0.00514326213080364,0.004936311671981322,0.00546125652298943,0.005351038109053321,0.005067500307221947,0.0056713583500358575,-0.041572010028775426,-0.14067375175488833,0.02575548558890885
Araf,T7,0.6nM,0.005232676500433988,0.005054609505149898,0.005496638971708556,0.005321663444799795,0.005170344068038557,0.005471028929942671,0.036479369366840805,-0.05253980604776568,0.06475486258580107
Araf,T7,3.5nM,0.005309062366583909,0.005263701244954029,0.005554623556801015,0.005321663444799795,0.005143081949567948,0.005471028929942671,0.008059892463829843,-0.04249128430471996,0.1279376176053449
Arid1a,T10,0.6nM,0.005174234871693398,0.0046758752386337355,0.005661764513533875,0.00507378722417226,0.0045676832577607384,0.005532004584294589,0.03479523632886511,0.00452825483464434,0.07008808033378372
Arid1a,T10,3.5nM,0.005027364443977833,0.004411222257838833,0.005470260609442901,0.00507378722417226,0.0045626282430738145,0.005283718796113565,-0.005129231921421104,-0.12820618484823107,0.10888090849564624
Arid1a,T13,0.6nM,0.005070408726244207,0.0044547065233877785,0.005491934133660741,0.004896992857737873,0.004231489454372081,0.005470752922498134,0.023910126407400235,-0.044390635995675845,0.08904702544846302
Arid1a,T13,3.5nM,0.004823145441915504,0.004691006328325383,0.005670125179542651,0.004896992857737873,0.004231489454372081,0.0053564104250591734,0.03766924076258197,-0.030921084922743106,0.16753736765590235
Arid1a,T7,0.6nM,0.005115805171014518,0.0047076265683736645,0.00578444524885031,0.005423030049510008,0.0048565741130162906,0.005925775398134369,-0.0417906976211348,-0.12053015902526128,-0.0022398327114981215
Arid1a,T7,3.5nM,0.005262103734538099,0.00479649467237295,0.005701786367962787,0.005423030049510008,0.0048565741130162906,0.005925775398134369,-0.027045014200043162,-0.14262634248533923,0.029830638170310862
Arid1b,T10,0.6nM,0.0052858876594344345,0.004737487809628529,0.00578379074876412,0.005105765530210384,0.004933950962806563,0.005369292263489518,-0.018102743490474686,-0.04905912636221779,0.0934976629218218
Arid1b,T10,3.5nM,0.005250639739485491,0.0049625248113170164,0.005572850368063563,0.005105765530210384,0.004933950962806563,0.005370808988768847,0.03495910411442635,-0.03226241921635113,0.08670140220605549
Arid1b,T13,0.6nM,0.005192034740287267,0.004813388752197894,0.005471395323407604,0.005066448812927591,0.004754704779541935,0.005500714770316056,-0.03711339241129265,-0.06711768857039895,0.08339548782010528
Arid1b,T13,3.5nM,0.005045929330050927,0.004617492424965694,0.005714560849511624,0.005066448812927591,0.004754704779541935,0.005500059638190336,-0.01589637976983021,-0.030320490385182426,0.06757326557866222
