shRNA_ID,Median_CV,Lower_CI,Upper_CI,Error_Lower,Error_Upper
NT_135,0.04229086025850341,0.014648892708993373,0.08420912115496107,0.027641967549510038,0.04191826089645766
NT_136,0.034538551122379066,0.027756110378539766,0.08064600256184397,0.0067824407438393,0.0461074514394649
NT_137,0.01333004670996409,0.005820157018677886,0.04742138823208587,0.007509889691286203,0.03409134152212179
NT_138,0.038685994668086435,0.02732280864618483,0.043858075204858814,0.011363186021901606,0.005172080536772379
NT_139,0.021973052237979532,0.01582800817601546,0.04069159875626058,0.006145044061964072,0.018718546518281046
NT_14,0.02955776649717137,0.016182236994803305,0.06889117481503103,0.013375529502368064,0.039333408317859656
NT_140,0.018935364660300786,0.011233910655406035,0.04269816289649869,0.007701454004894751,0.023762798236197907
NT_141,0.04155769266559653,0.011153258530149536,0.06292185954795781,0.030404434135446995,0.021364166882361285
NT_142,0.022821394426454793,0.01704687571734631,0.03656345248774385,0.005774518709108483,0.013742058061289055
NT_143,0.025822707617571574,0.005937709007900688,0.05724620072445341,0.019884998609670884,0.031423493106881834
NT_144,0.022865277979573998,0.019258922012137775,0.04737140240246934,0.0036063559674362235,0.024506124422895344
NT_146,0.06101087738681395,0.02382266276790311,0.09745594413474616,0.037188214618910836,0.036445066747932214
NT_147,0.053173907439760686,0.030991177195214263,0.07604216642986944,0.022182730244546423,0.022868258990108754
NT_148,0.05216300789595763,0.020785287475552812,0.06619804334483392,0.03137772042040482,0.014035035448876292
NT_149,0.03396329439369714,0.01874851482619486,0.0496194207761279,0.015214779567502282,0.01565612638243076
NT_15,0.027832018924140244,0.012368753775846559,0.04827195913485129,0.015463265148293685,0.02043994021071105
NT_150,0.02636460252212236,0.019237713538995428,0.04815955473218325,0.007126888983126932,0.02179495221006089
NT_153,0.023163510383383632,0.017940111578791225,0.04290376450877233,0.005223398804592407,0.019740254125388695
NT_154,0.03959387843223839,0.02791270921823775,0.07551919664390615,0.011681169214000638,0.03592531821166776
NT_155,0.03387174083782754,0.030806047215697675,0.05626330465809886,0.0030656936221298663,0.02239156382027132
NT_156,0.0605558042188724,0.024343690592653726,0.07784795505651151,0.03621211362621867,0.017292150837639117
NT_157,0.03289638677893595,0.016931718973353452,0.04625815810762742,0.0159646678055825,0.013361771328691471
NT_158,0.057781273680993644,0.034230908463778784,0.0739693526400529,0.02355036521721486,0.016188078959059257
NT_159,0.03215237697282532,0.022482970248585196,0.051010165579285,0.009669406724240121,0.01885778860645968
NT_16,0.03375086019773577,0.024215222918701398,0.04820548367597289,0.009535637279034375,0.014454623478237116
NT_160,0.04798698357078749,0.01732135439294133,0.07849730252542052,0.03066562917784616,0.030510318954633027
NT_161,0.030762463739857245,0.0193626006392396,0.04424638930255615,0.011399863100617646,0.013483925562698906
NT_162,0.03751878863166327,0.015100053076024677,0.040676029379705436,0.022418735555638593,0.0031572407480421685
NT_163,0.03875831954973788,0.006324338485517562,0.057845599670000976,0.03243398106422032,0.019087280120263096
NT_164,0.02756682959392782,0.01152006916747931,0.03976168432266186,0.01604676042644851,0.01219485472873404
NT_165,0.012805257391173528,0.006036146715792711,0.022062595528459527,0.006769110675380817,0.009257338137285999
NT_166,0.03025070960257093,0.004155920397807773,0.04778523831189308,0.026094789204763158,0.01753452870932215
NT_167,0.04743562669410712,0.015308904173962617,0.062247593477245185,0.03212672252014451,0.014811966783138064
NT_168,0.023486429928395402,0.016197495782115563,0.04967072140163458,0.007288934146279839,0.02618429147323918
NT_169,0.05741163342993298,0.032760711515193226,0.06878075402451898,0.024650921914739755,0.011369120594586002
NT_17,0.013340489254332814,0.008746347619193627,0.035559449224041535,0.004594141635139187,0.02221895996970872
NT_170,0.014615376319486817,0.007180378536478193,0.048992168355884234,0.007434997783008624,0.034376792036397416
NT_171,0.021563676181912354,0.01293291884098239,0.04239699864053279,0.008630757340929964,0.020833322458620438
NT_172,0.042036891719528846,0.026814582753373364,0.05397395261986913,0.015222308966155482,0.01193706090034028
NT_173,0.020429765418460588,0.0026601255993317485,0.02996132065054946,0.017769639819128838,0.009531555232088873
NT_174,0.019884353557337905,0.01028298616134192,0.030468303959119564,0.009601367395995986,0.010583950401781658
NT_175,0.03775801140054739,0.014820588446610687,0.05045232524703703,0.0229374229539367,0.012694313846489641
NT_176,0.056830436228707495,0.01326864181749609,0.0817678632986431,0.043561794411211406,0.02493742706993561
NT_177,0.028621630261857996,0.007861338983044726,0.0472077876935125,0.02076029127881327,0.018586157431654503
NT_178,0.04537563127855045,0.02868554572132076,0.07070302062332452,0.016690085557229693,0.02532738934477407
NT_179,0.03968530590621182,0.021738977801703533,0.07002696179586884,0.017946328104508285,0.030341655889657024
NT_180,0.025270422503252087,0.01278412425683294,0.04216540039366871,0.012486298246419147,0.01689497789041662
NT_181,0.03548180416298629,0.01821963469401948,0.04534178510354008,0.01726216946896681,0.009859980940553792
NT_182,0.04012540813357701,0.007292999061769357,0.08221830389121883,0.03283240907180766,0.042092895757641816
NT_183,0.027452167616154613,0.02229050068488591,0.06033801986785101,0.005161666931268703,0.0328858522516964
NT_184,0.048656755801017235,0.00863136348724737,0.08881865207783557,0.040025392313769864,0.040161896276818335
NT_185,0.025020533818147304,0.02315152150327054,0.029259175799960353,0.0018690123148767633,0.004238641981813049
NT_186,0.04997487900428016,0.021743251685355534,0.07820046193745692,0.028231627318924625,0.028225582933176757
NT_187,0.03861554327363811,0.018805694547181725,0.07022281951533976,0.019809848726456383,0.031607276241701655
NT_188,0.02346924215444115,0.008263355391938185,0.048618505798142884,0.015205886762502964,0.025149263643701736
NT_189,0.029416742925512093,0.020300954520184496,0.03899323204741594,0.009115788405327598,0.009576489121903849
NT_19,0.052653534480607764,0.010082935789560305,0.08098494862127667,0.042570598691047457,0.028331414140668906
NT_190,0.042765668775351484,0.019682562696674677,0.047344200801825546,0.023083106078676807,0.004578532026474062
NT_191,0.04613480785228335,0.02363706438445212,0.05259921691819302,0.02249774346783123,0.006464409065909671
NT_192,0.035747003666708264,0.005243149314979194,0.0440352492424925,0.03050385435172907,0.008288245575784232
NT_193,0.047197766524553646,0.013681380364658692,0.08720637064471348,0.033516386159894954,0.04000860412015984
NT_194,0.053280624303855266,0.020637203122139954,0.07850415466703549,0.032643421181715315,0.025223530363180223
NT_195,0.0211894546876615,0.01254463246853165,0.04200858552442765,0.008644822219129851,0.020819130836766148
NT_196,0.0232460933272616,0.01620308648509133,0.03756546564318811,0.0070430068421702685,0.014319372315926514
NT_197,0.038639423774722806,0.014203673384977925,0.06839414632915268,0.02443575038974488,0.029754722554429874
NT_198,0.0320522018127056,0.021982421742335726,0.04601996262308645,0.010069780070369874,0.013967760810380848
NT_199,0.02780139294124142,0.01613569809325454,0.05209696073808489,0.01166569484798688,0.02429556779684347
NT_20,0.06130274402748382,0.051289755174719696,0.07660980726392427,0.010012988852764124,0.015307063236440453
NT_200,0.03655433579139671,0.011939385299986303,0.04331937867972853,0.02461495049141041,0.006765042888331817
NT_21,0.01751093344480784,0.008475955998743206,0.0630164736092015,0.009034977446064633,0.04550554016439366
NT_22,0.033494253988934464,0.020652479923101007,0.09293258059727437,0.012841774065833457,0.059438326608339906
NT_23,0.01957492014310696,0.0068322455581712824,0.03505280622200445,0.012742674584935677,0.015477886078897489
NT_24,0.04127442738007136,0.020970827136754105,0.05090141675715218,0.020303600243317253,0.00962698937708082
NT_26,0.02077861993246865,0.009418078760968352,0.04782071918312304,0.011360541171500297,0.027042099250654393
NT_29,0.059910020862911625,0.027560163983806896,0.07826738906589295,0.03234985687910473,0.018357368202981325
NT_30,0.031373213574181776,0.0168300006935628,0.06324509133229876,0.014543212880618977,0.031871877758116986
NT_31,0.026728187948092175,0.015195041154996234,0.057118513504593134,0.01153314679309594,0.03039032555650096
NT_32,0.029373353451591075,0.018681015180139305,0.055031678670611955,0.01069233827145177,0.02565832521902088
NT_33,0.04149705687853077,0.01752094519798789,0.08213440012988207,0.023976111680542884,0.0406373432513513
