shRNA_ID,Target_Gene,RTN_A,RTN_B,Predictive_Effect,Timepoint,Dosage,Gene_Category,Sort_Order
Axin1_05,Axin1,0.0058408761142908295,0.005453661356967495,0.09895966592926368,T10,0.6nM,Other,4
Axin1_06,Axin1,0.005601058437428477,0.005707724818825076,-0.02721630077995095,T10,0.6nM,Other,4
Axin1_07,Axin1,0.006411350390115805,0.006104736917516149,0.07069913248435629,T10,0.6nM,Other,4
Axin1_08,Axin1,0.005016781700006989,0.005308345553748371,-0.08150012579291138,T10,0.6nM,Other,4
Axin1_09,Axin1,0.005364705396912153,0.004906821035251464,0.12871029402102635,T10,0.6nM,Other,4
Axin1_10,Axin1,0.005632389139015283,0.005639738921421658,-0.001881365448496221,T10,0.6nM,Other,4
Axin1_01,Axin1,0.004693521734912391,0.004648798892282107,0.013812824185381585,T10,3.5nM,Other,4
Axin1_02,Axin1,0.004947310112481735,0.004596422422529261,0.10613294355407024,T10,3.5nM,Other,4
Axin1_03,Axin1,0.005113816158759892,0.005000909847621042,0.03220969921775029,T10,3.5nM,Other,4
Axin1_04,Axin1,0.007802367322415905,0.00811382013629116,-0.05646940221637461,T10,3.5nM,Other,4
Axin1_05,Axin1,0.005656790435337034,0.005453661356967495,0.05275860564064777,T10,3.5nM,Other,4
Axin1_06,Axin1,0.005368077642473593,0.005707724818825076,-0.08851024273613313,T10,3.5nM,Other,4
Axin1_07,Axin1,0.0064655278298547305,0.006104736917516149,0.0828390290504697,T10,3.5nM,Other,4
Axin1_08,Axin1,0.004924621064009481,0.005308345553748371,-0.10824957045891836,T10,3.5nM,Other,4
Axin1_09,Axin1,0.004776553924630229,0.004906821035251464,-0.03881850153488493,T10,3.5nM,Other,4
Axin1_10,Axin1,0.006718697840863051,0.005639738921421658,0.25255327162342356,T10,3.5nM,Other,4
Axin1_01,Axin1,0.004806303908720119,0.004579614847499275,0.06970160419767912,T13,0.6nM,Other,4
Axin1_02,Axin1,0.00469947645463436,0.004516958019164154,0.05714853688538272,T13,0.6nM,Other,4
Axin1_03,Axin1,0.005369207323287965,0.005509497557394615,-0.03721164386196066,T13,0.6nM,Other,4
Axin1_04,Axin1,0.008551988078526588,0.008708686376382084,-0.026195276283929515,T13,0.6nM,Other,4
Axin1_05,Axin1,0.00576323476775336,0.0058688539886706656,-0.026200026023353508,T13,0.6nM,Other,4
Axin1_06,Axin1,0.005690619913272897,0.0056146432477457075,0.0193914652401846,T13,0.6nM,Other,4
Axin1_07,Axin1,0.0061739745582263215,0.006306041938897772,-0.03053522693227816,T13,0.6nM,Other,4
Axin1_08,Axin1,0.0050294531883562235,0.00510160904750422,-0.02055078884684271,T13,0.6nM,Other,4
Axin1_09,Axin1,0.005646414562625741,0.005003926875801319,0.1742743490473221,T13,0.6nM,Other,4
Axin1_10,Axin1,0.0058143884095431374,0.005326212409557793,0.12651748437551513,T13,0.6nM,Other,4
Axin1_01,Axin1,0.0047252502510974044,0.004579614847499275,0.04516446644946015,T13,3.5nM,Other,4
Axin1_02,Axin1,0.004673530323910851,0.004516958019164154,0.04916124942851944,T13,3.5nM,Other,4
Axin1_03,Axin1,0.004965500090804823,0.005509497557394615,-0.14998173384893432,T13,3.5nM,Other,4
Axin1_04,Axin1,0.00785897199529536,0.008708686376382084,-0.14811450730554424,T13,3.5nM,Other,4
Axin1_05,Axin1,0.005805357344118876,0.0058688539886706656,-0.01569394196337197,T13,3.5nM,Other,4
Axin1_06,Axin1,0.0057511861741738985,0.0056146432477457075,0.03466518334333185,T13,3.5nM,Other,4
Axin1_07,Axin1,0.006428132557991138,0.006306041938897772,0.027664915086932758,T13,3.5nM,Other,4
Axin1_08,Axin1,0.0046322960769288254,0.00510160904750422,-0.1392248775879035,T13,3.5nM,Other,4
Axin1_09,Axin1,0.0043573850525108196,0.005003926875801319,-0.19959810036526066,T13,3.5nM,Other,4
Axin1_10,Axin1,0.006297267244046349,0.005326212409557793,0.2416159294542948,T13,3.5nM,Other,4
Axl_01,Axl,0.005713994660516472,0.005420676362171473,0.07602681377824307,T7,0.6nM,Other,4
Axl_02,Axl,0.005306742381424257,0.005207756164517807,0.02716461327344563,T7,0.6nM,Other,4
Axl_03,Axl,0.005258013672341301,0.004927189073003278,0.09375305955310079,T7,0.6nM,Other,4
Axl_04,Axl,0.005448702343485253,0.005229551954880991,0.059225332279477114,T7,0.6nM,Other,4
Axl_05,Axl,0.005277585478923423,0.005209991451008428,0.018597035300840024,T7,0.6nM,Other,4
Axl_06,Axl,0.005568813671746931,0.005768168835433094,-0.050743371195498425,T7,0.6nM,Other,4
Axl_07,Axl,0.005378088451145078,0.0057849911650018,-0.10522127320997356,T7,0.6nM,Other,4
Axl_08,Axl,0.005444494822417919,0.005213525891024296,0.06253879934752783,T7,0.6nM,Other,4
Axl_09,Axl,0.005536814941492447,0.005433942929996973,0.02705688934587343,T7,0.6nM,Other,4
Axl_10,Axl,0.005884581521158242,0.005679408086192791,0.051199244041985274,T7,0.6nM,Other,4
Axl_01,Axl,0.005935806756608948,0.005420676362171473,0.13097125064802267,T7,3.5nM,Other,4
Axl_02,Axl,0.005832117219376325,0.005207756164517807,0.16335781580482991,T7,3.5nM,Other,4
Axl_03,Axl,0.005034223146994258,0.004927189073003278,0.031004332994083686,T7,3.5nM,Other,4
Axl_04,Axl,0.005490236996585737,0.005229551954880991,0.07018107929559309,T7,3.5nM,Other,4
Axl_05,Axl,0.005312558243472851,0.005209991451008428,0.028125747794719155,T7,3.5nM,Other,4
Axl_06,Axl,0.005340588710884397,0.005768168835433094,-0.11111460940438234,T7,3.5nM,Other,4
