shRNA_ID,Sample_Description,Mean_Proportion,Std_Proportion,CV
NT_100,T10_Dox_Vehicle,0.0005358675293347247,1.2645966212936291e-05,0.023599052976089368
NT_100,T13_Dox_0.6nM,0.0005340538943790418,8.630148256005871e-06,0.016159695391867457
NT_100,T13_Dox_3.5nM,0.000542376048964788,2.6992628700315267e-05,0.04976736851089764
NT_100,T13_Dox_Vehicle,0.0005587773862150357,5.620846248397522e-06,0.010059187052058756
NT_100,T4_Dox_NoTx,0.0005110363310831423,2.8332221911871727e-05,0.05544071955084199
NT_100,T7_Dox_0.6nM,0.0004841420998137522,1.1059228218901907e-05,0.022842938515688582
NT_100,T7_Dox_3.5nM,0.0005229671225996434,1.8240405891933133e-05,0.034878685683453654
NT_100,T7_Dox_Vehicle,0.0005320551329724232,8.892147722572387e-06,0.016712831380640534
NT_100,T7_NoDox_NoTx,0.0005259719486336372,2.9954073467710887e-06,0.005694994485071908
NT_101,T10_Dox_0.6nM,0.0006363880200508101,4.567866496659746e-05,0.07177800889927251
NT_101,T10_Dox_3.5nM,0.0005967746674856541,2.0933628632695325e-05,0.03507794444575439
NT_101,T10_Dox_Vehicle,0.0006021702702853611,7.068983609081678e-05,0.11739177368772745
NT_101,T13_Dox_0.6nM,0.0006401706103775511,3.134394391794101e-05,0.04896186018201523
NT_101,T13_Dox_3.5nM,0.000612117797698571,3.0388880401700383e-05,0.04964547757957035
NT_101,T13_Dox_Vehicle,0.0006524322796757588,7.191775470766501e-05,0.11023022150805627
NT_101,T4_Dox_NoTx,0.0005931675475697368,2.1479701452329187e-05,0.036211862129567854
NT_101,T7_Dox_0.6nM,0.0005662840933270633,9.958521919768109e-06,0.017585734858380456
NT_101,T7_Dox_3.5nM,0.0006174624071245257,4.352848330798582e-05,0.0704957626662562
NT_101,T7_Dox_Vehicle,0.0005843629254427493,1.1013488910391724e-05,0.018847001462399805
NT_101,T7_NoDox_NoTx,0.0005534703222784995,3.822851357564987e-05,0.06907057530794533
NT_102,T10_Dox_0.6nM,0.0001901513344618814,1.736528686889608e-05,0.09132350776311383
NT_102,T10_Dox_3.5nM,0.00017747827749665517,2.3980437124640575e-06,0.01351175899545933
NT_102,T10_Dox_Vehicle,0.0001527479555847295,9.115748117365818e-06,0.059678364155317944
NT_102,T13_Dox_0.6nM,0.00017282414846048785,9.887270341049031e-06,0.05721000467309996
NT_102,T13_Dox_3.5nM,0.0001698402076560977,1.8481154316087298e-05,0.10881495360338354
NT_102,T13_Dox_Vehicle,0.00016667454070888412,7.923479677369934e-06,0.04753863213704117
NT_102,T4_Dox_NoTx,0.00016676731389730538,1.0458275270207159e-05,0.06271178101871522
NT_102,T7_Dox_0.6nM,0.00015470656258406902,7.808478143207057e-06,0.05047283071113325
