shRNA_ID,Target_Gene,RTN_A,RTN_B,Prognostic_Effect,Gene_Category,Sort_Order
Cd47_07,Cd47,0.8038503064600675,1.0,-0.3150012281035208,Other,4
Cd47_08,Cd47,0.937420424008148,1.0,-0.09323186707034255,Other,4
Cd47_09,Cd47,1.0135793203685568,1.0,0.01945899519309863,Other,4
Cd47_10,Cd47,0.9115228791362094,1.0,-0.1336492266623365,Other,4
Cdk12_01,Cdk12,0.8659700126324752,1.0,-0.20761102764375908,Other,4
Cdk12_02,Cdk12,1.0033862881549198,1.0,0.004877128100173026,Other,4
Cdk12_03,Cdk12,0.9945078458645905,1.0,-0.007945342083459792,Other,4
Cdk12_04,Cdk12,0.946979076630869,1.0,-0.07859554498500056,Other,4
Cdk12_05,Cdk12,1.258817535707223,1.0,0.33206918106517974,Other,4
Cdk12_06,Cdk12,0.8553993138008866,1.0,-0.22533004499887563,Other,4
Cdk12_07,Cdk12,1.0393862002820913,1.0,0.055731809878743224,Other,4
Cdk12_08,Cdk12,1.0076255195104384,1.0,0.010959565895522662,Other,4
Cdk12_09,Cdk12,0.9818836382484394,1.0,-0.02637603212827814,Other,4
Cdk12_10,Cdk12,0.9868102412620509,1.0,-0.01915540666997458,Other,4
Cdk2_01,Cdk2,0.9032355559102926,1.0,-0.14682581590023197,Other,4
Cdk2_02,Cdk2,0.9160410365172365,1.0,-0.1265158657203725,Other,4
Cdk2_03,Cdk2,0.9367435484145537,1.0,-0.09427395849777881,Other,4
Cdk2_04,Cdk2,0.9458190339114975,1.0,-0.08036391962429794,Other,4
Cdk2_05,Cdk2,1.0671648625886598,1.0,0.09378307031988885,Other,4
Cdk2_06,Cdk2,1.0056444937604154,1.0,0.008120386919038084,Other,4
Cdk2_07,Cdk2,1.0546000718300284,1.0,0.07669600009401112,Other,4
Cdk2_08,Cdk2,0.7999246823432349,1.0,-0.32206392679393375,Other,4
Cdk2_09,Cdk2,0.9919284924405426,1.0,-0.011691973589555099,Other,4
Cdk2_10,Cdk2,0.9798244755390819,1.0,-0.029404764995695696,Other,4
Cdk4_01,Cdk4,0.7201253298671352,1.0,-0.4736800813287402,Other,4
Cdk4_02,Cdk4,0.9486835531216421,1.0,-0.07600115882721456,Other,4
Cdk4_03,Cdk4,0.9416903774488434,1.0,-0.08667530717860016,Other,4
Cdk4_04,Cdk4,0.8516516565236905,1.0,-0.231664636465891,Other,4
Cdk4_05,Cdk4,0.7932059392467906,1.0,-0.3342326148876561,Other,4
Cdk4_06,Cdk4,0.894970385527602,1.0,-0.16008815034212903,Other,4
Cdk4_07,Cdk4,0.7830412920703826,1.0,-0.3528397078123725,Other,4
Cdk4_08,Cdk4,0.845803674737237,1.0,-0.24160526647421618,Other,4
Cdk4_09,Cdk4,0.9801351316025909,1.0,-0.028947427033865655,Other,4
Cdk4_10,Cdk4,0.8286105825117842,1.0,-0.2712338492265563,Other,4
Cdk6_01,Cdk6,0.6358281150041448,1.0,-0.6532912840102921,Other,4
Cdk6_02,Cdk6,1.0905808208438519,1.0,0.125096689290928,Other,4
Cdk6_03,Cdk6,1.215591611855233,1.0,0.281658624743649,Other,4
Cdk6_04,Cdk6,0.9886503499869903,1.0,-0.016467712962770255,Other,4
Cdk6_05,Cdk6,1.0097646340190516,1.0,0.01401905445766435,Other,4
Cdk6_06,Cdk6,0.961601030288884,1.0,-0.05648965308964984,Other,4
Cdk6_07,Cdk6,1.064497112470486,1.0,0.09017203637530767,Other,4
Cdk6_08,Cdk6,0.9488124775033349,1.0,-0.07580511249731232,Other,4
Cdk6_09,Cdk6,0.8299439270339724,1.0,-0.26891422700939394,Other,4
Cdk6_10,Cdk6,0.9815590185844204,1.0,-0.026853079096869358,Other,4
Cdk7_01,Cdk7,0.8107770658939887,1.0,-0.3026228144063827,Other,4
Cdk7_02,Cdk7,1.0123856824311555,1.0,0.017759009527225575,Other,4
Cdk7_03,Cdk7,0.842175008731349,1.0,-0.24780803024986375,Other,4
Cdk7_04,Cdk7,0.8954431442621419,1.0,-0.1593262630056442,Other,4
Cdk7_05,Cdk7,1.0352867917368858,1.0,0.0500304737178678,Other,4
Cdk7_06,Cdk7,1.1421694917218905,1.0,0.19177675466106006,Other,4
Cdk7_07,Cdk7,1.2054763857678044,1.0,0.26960339007825457,Other,4
Cdk7_08,Cdk7,0.9311690396860848,1.0,-0.10288500381673832,Other,4
Cdk7_09,Cdk7,1.011940667583135,1.0,0.017124703971998553,Other,4
Cdk7_10,Cdk7,0.8378543469236976,1.0,-0.2552286280923666,Other,4
Cdk8_01,Cdk8,0.8292342181796307,1.0,-0.2701484446972702,Other,4
Cdk8_02,Cdk8,0.9849057973631318,1.0,-0.021942352223202937,Other,4
Cdk8_03,Cdk8,0.875833959094625,1.0,-0.1912707057640852,Other,4
Cdk8_04,Cdk8,0.926457014580888,1.0,-0.11020405472724706,Other,4
Cdk8_05,Cdk8,1.0298864220006994,1.0,0.04248524279554698,Other,4
Cdk8_06,Cdk8,1.019013908113724,1.0,0.027173742406343373,Other,4
Cdk8_07,Cdk8,1.0327190505861614,1.0,0.04644782491451746,Other,4
Cdk8_08,Cdk8,1.093626540579775,1.0,0.1291201603995162,Other,4
Cdk8_09,Cdk8,0.9267558238774306,1.0,-0.1097388186949002,Other,4
Cdk8_10,Cdk8,1.0527042482879243,1.0,0.07410017571840995,Other,4
Cdk9_01,Cdk9,0.7608805661108679,1.0,-0.3942580803203992,Other,4
Cdk9_02,Cdk9,0.9416351115144745,1.0,-0.08675997856433164,Other,4
Cdk9_03,Cdk9,0.9726669528364094,1.0,-0.0399821930079076,Other,4
Cdk9_04,Cdk9,1.094740414877535,1.0,0.1305888181676506,Other,4
Cdk9_05,Cdk9,1.1573691080409534,1.0,0.21084904198830254,Other,4
Cdk9_06,Cdk9,1.057005088991308,1.0,0.07998232264760582,Other,4
Cdk9_07,Cdk9,0.7535736491600324,1.0,-0.40817957697861057,Other,4
Cdk9_08,Cdk9,0.9571306054814817,1.0,-0.06321229345281248,Other,4
Cdk9_09,Cdk9,0.8082860341428761,1.0,-0.30706217441609496,Other,4
Cdk9_10,Cdk9,0.9824767408353062,1.0,-0.025504841489407737,Other,4
Cdkn1a_01,Cdkn1a,1.2028755968157334,1.0,0.26648744456093676,Other,4
Cdkn1a_02,Cdkn1a,1.0728791185548874,1.0,0.10148753659248809,Other,4
Cdkn1a_03,Cdkn1a,1.1295994998603816,1.0,0.1758113549565866,Other,4
Cdkn1a_04,Cdkn1a,1.1238976970519896,1.0,0.16851072001360018,Other,4
Cdkn1a_05,Cdkn1a,0.8871330544625529,1.0,-0.17277759507638518,Other,4
Cdkn1a_06,Cdkn1a,0.8737554948566162,1.0,-0.19469847157815676,Other,4
Cdkn1a_07,Cdkn1a,0.9305059036847309,1.0,-0.10391279125563307,Other,4
Cdkn1a_08,Cdkn1a,0.9503197371117958,1.0,-0.07351510193112387,Other,4
Cdkn1a_09,Cdkn1a,1.0100020382061077,1.0,0.014358204370017415,Other,4
Cdkn1a_10,Cdkn1a,1.3034843243029015,1.0,0.3823732331331921,Other,4
Cdkn2a(Arf)_01,Cdkn2a(Arf),0.8700476929170982,1.0,-0.20083360835233038,Other,4
Cdkn2a(Arf)_02,Cdkn2a(Arf),1.0510363255243822,1.0,0.07181253204818258,Other,4
Cdkn2a(Arf)_03,Cdkn2a(Arf),1.0614243408513786,1.0,0.086001538489,Other,4
Cdkn2a(Arf)_04,Cdkn2a(Arf),0.9545483068449426,1.0,-0.06710988491434992,Other,4
Cdkn2a(Arf)_05,Cdkn2a(Arf),0.9374337298465748,1.0,-0.09321138945924504,Other,4
Cdkn2a(Arf)_06,Cdkn2a(Arf),0.899267279636273,1.0,-0.15317811852943497,Other,4
Cdkn2a(Arf)_07,Cdkn2a(Arf),0.9909383157788199,1.0,-0.01313283998793534,Other,4
Cdkn2a(Arf)_08,Cdkn2a(Arf),0.8996156251955612,1.0,-0.1526193757498659,Other,4
Cdkn2a(Arf)_09,Cdkn2a(Arf),0.9342374909741735,1.0,-0.0981387531990245,Other,4
Cdkn2a(Arf)_10,Cdkn2a(Arf),1.2249924586875363,1.0,0.29277286771961536,Other,4
Cdkn2a(Ink4a)_01,Cdkn2a(Ink4a),1.1097338606911769,1.0,0.15021372711750794,Other,4
Cdkn2a(Ink4a)_02,Cdkn2a(Ink4a),1.0558505762678974,1.0,0.07840567926976769,Other,4
Cdkn2a(Ink4a)_03,Cdkn2a(Ink4a),0.8403001623188587,1.0,-0.2510233320716615,Other,4
Cdkn2a(Ink4a)_04,Cdkn2a(Ink4a),0.9725436775190369,1.0,-0.04016505103520804,Other,4
Cdkn2a(Ink4a)_05,Cdkn2a(Ink4a),1.1253432217398878,1.0,0.17036508036104553,Other,4
Cdkn2a(Ink4a)_06,Cdkn2a(Ink4a),1.0174895482648798,1.0,0.025013975087226553,Other,4
Cdkn2a(Ink4a)_07,Cdkn2a(Ink4a),1.1590475303177923,1.0,0.21293972971604433,Other,4
Cdkn2a(Ink4a+Arf)_01,Cdkn2a(Ink4a+Arf),0.9433755002039,1.0,-0.08409596083488623,Other,4
Cdkn2a(Ink4a+Arf)_02,Cdkn2a(Ink4a+Arf),0.8514227366870007,1.0,-0.2320524780263759,Other,4
Cdkn2a(Ink4a+Arf)_03,Cdkn2a(Ink4a+Arf),0.7108081960471008,1.0,-0.4924677782811318,Other,4
Cdkn2a(Ink4a+Arf)_04,Cdkn2a(Ink4a+Arf),0.9244826655169684,1.0,-0.11328182621209763,Other,4
Cdkn2a(Ink4a+Arf)_05,Cdkn2a(Ink4a+Arf),0.8690938647113958,1.0,-0.2024160940955567,Other,4
Cdkn2a(Ink4a+Arf)_06,Cdkn2a(Ink4a+Arf),1.0325956294804954,1.0,0.046275396936334916,Other,4
Cdkn2a(Ink4a+Arf)_07,Cdkn2a(Ink4a+Arf),1.0311365355620292,1.0,0.044235376485262365,Other,4
Cdkn2a(Ink4a+Arf)_08,Cdkn2a(Ink4a+Arf),1.0337328746981609,1.0,0.04786342923433831,Other,4
Cdkn2a(Ink4a+Arf)_09,Cdkn2a(Ink4a+Arf),0.8906679880949423,1.0,-0.16704035247138493,Other,4
Cdkn2a(Ink4a+Arf)_10,Cdkn2a(Ink4a+Arf),1.0372586927451852,1.0,0.05277574776422269,Other,4
Cdkn2b_01,Cdkn2b,0.9863931057446611,1.0,-0.0197653786246589,Other,4
Cdkn2b_02,Cdkn2b,0.917954840672932,1.0,-0.12350491373167653,Other,4
Cdkn2b_03,Cdkn2b,1.1006738038336332,1.0,0.13838697451669374,Other,4
Cdkn2b_04,Cdkn2b,0.9769972777416676,1.0,-0.03357355254433412,Other,4
Cdkn2b_05,Cdkn2b,1.9803140374404185,1.0,0.9857292304730593,Other,4
Cdkn2b_06,Cdkn2b,1.514855425346593,1.0,0.5991801124518393,Other,4
Cdkn2b_07,Cdkn2b,1.7021368375906367,1.0,0.767347022322319,Other,4
Cdkn2b_08,Cdkn2b,1.084602922239099,1.0,0.11716696251552601,Other,4
Cdkn2b_09,Cdkn2b,1.1640812986487223,1.0,0.21919181860835293,Other,4
Cdkn2b_10,Cdkn2b,0.9716495529354731,1.0,-0.04149202735976379,Other,4
Chek1_01,Chek1,0.8280091197075469,1.0,-0.27228143720576126,Other,4
Chek1_02,Chek1,0.7425994975599007,1.0,-0.4293437558165577,Other,4
Chek1_03,Chek1,0.8400384356973674,1.0,-0.251472755422876,Other,4
Chek1_04,Chek1,1.0741219554808883,1.0,0.10315780578027371,Other,4
Chek1_05,Chek1,0.7706316023619474,1.0,-0.37588674507467734,Other,4
Chek1_06,Chek1,0.8380380099432372,1.0,-0.254912414789693,Other,4
Chek1_07,Chek1,0.9359727735249312,1.0,-0.09546153096741859,Other,4
Chek1_08,Chek1,0.8630477837324398,1.0,-0.2124876566356361,Other,4
