Target_Gene,RTN_A_median,RTN_A_CI_lower,RTN_A_CI_upper,RTN_B_median,RTN_B_CI_lower,RTN_B_CI_upper,Prognostic_Effect_median,Prognostic_Effect_CI_lower,Prognostic_Effect_CI_upper,p_value,adjusted_p_value,p_value_CI_lower,p_value_CI_upper,adjusted_p_value_CI_lower,adjusted_p_value_CI_upper
Kit,0.0056478222091735,0.0049527741979365,0.0063164949969838,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0475417747826835,-0.1096126868543966,0.2052888163744653,0.3067226932773067,0.5824746468831513,0.06916593083406916,0.000298999701000299,0.09100780372903837,0.0035176435411799875
Klf5,0.0048173421838426,0.0040112988622881,0.0053127041057151,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.1834916251153708,-0.3709230306206719,-0.0406380831068776,0.002046997953002047,0.019495218600019498,9.99999000001e-07,0.46054453945546053,6.24999375000625e-06,0.5515503466532462
Kras(G12D),0.004159331586189,0.0038486382452573,0.0047738351405735,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.3937996872888998,-0.5072120259336197,-0.1949357010693072,9.99999000001e-07,2.4999975000025e-05,9.99999000001e-07,0.001157998842001158,6.24999375000625e-06,0.009263990736009264
Kras(wt),0.0051693488174,0.0046199528342522,0.0055650846852333,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.080102519661535,-0.2422063233379628,0.0560811445156049,0.171992828007172,0.43542488103081517,1.999998000002e-05,0.24744375255624745,7.142850000007142e-05,0.36658333712036656
Kras(wt+G12D),0.0046566530100869,0.0042862329079743,0.0055743191723358,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.230841204130983,-0.3503742001783039,0.0287111637355909,6.8999931000069e-05,0.0009857133000009857,9.99999000001e-07,0.4823285176714823,6.24999375000625e-06,0.5608471135714911
Luc,0.0054756217901581,0.0048639413363931,0.0058555202375869,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0025426197255382,-0.1726631880276302,0.0997129072424543,0.8647061352938648,0.9502265223009503,0.003544996455003545,0.06896993103006897,0.006688672556610462,0.17905366710017903
Map2k1,0.005082860062506,0.0044663444850855,0.0057861499615871,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.1054265587578565,-0.2814402449002339,0.0825192681847377,0.07965392034607965,0.30648487870030644,2.999997000003e-06,0.11778788221211779,1.3953474418618604e-05,0.2161245545176473
Map2k2,0.0055365603123142,0.0054365670840482,0.0057655764612024,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0188870806234853,-0.0074999014675898,0.0770639347427343,0.6042313957686042,0.8056418610248056,0.9565880434119566,0.13937686062313936,0.961395018504479,0.240304932108861
Map4k1,0.0054327021134508,0.0052735472965413,0.0058364683672241,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0084511742105091,-0.0463378942470682,0.0924475919183215,0.9384410615589385,0.9856646393353607,0.4021345978654021,0.0887049112950887,0.43949136378732473,0.2016020711252016
Mapk1,0.0054302398749458,0.004327957950021,0.0061417854107712,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.009068634640857,-0.3358510363288663,0.1685736601681595,0.9274750725249274,0.9856646393353607,9.99999000001e-07,0.002520997479002521,6.24999375000625e-06,0.014405699880014406
